Identifiant DEPCIR (numéro de département suivi du numéro de circonscritption),Intitulé de DEPCIR,Population,Population 0-2 ans,Population 3-5 ans,Population 6-10 ans,Population 11-17 ans,Population 18-24 ans,Population 25-39 ans,Population 40-54 ans,Population 55-64 ans,Population 65-79 ans,Population 80 ans et plus,Population 0-19 ans,Population 20-64 ans,Population 65 ans et plus,Population Hommes,Population Hommes 0-19 ans,Population Hommes 20-64 ans,Population Hommes 65 ans et plus,Population Femmes,Population Femmes 0-19 ans,Population Femmes 20-64 ans,Population Femmes 65 ans et plus,Population française,Population étrangère,Population 15 ans ou plus,Population 15 ans ou plus Agriculteurs exploitants,"Population 15 ans ou plus Artisans, Comm., Chefs entr.","Population 15 ans ou plus Cadres, Prof. intel. sup.",Population 15 ans ou plus Prof. intermédiaires ,Population 15 ans ou plus Employés,Population 15 ans ou plus Ouvriers,Population 15 ans ou plus Retraités ,Population 15 ans ou plus Autres,Population Hommes15 ans ou plus,Population Hommes 15 ans ou plus Agriculteurs exploitants,"Population Hommes15 ans ou plus Artisans, Comm., Chefs entr.","Population Hommes 15 ans ou plus Cadres, Prof. intel. sup.",Population Hommes 15 ans ou plus Prof. intermédiaires ,Population Hommes15 ans ou plus Employés,Population Hommes 15 ans ou plus Ouvriers,Population Hommes 15 ans ou plus Retraités ,Population Hommes 15 ans ou plus Autres,Population Femmes15 ans ou plus,Population Femmes 15 ans ou plus Agriculteurs exploitants,"Population Femmes15 ans ou plus Artisans, Comm., Chefs entr.","Population Femmes 15 ans ou plus Cadres, Prof. intel. sup.",Population Femmes 15 ans ou plus Prof. intermédiaires ,Population Femmes 15 ans ou plus Employés,Population Femmes 15 ans ou plus Ouvriers,Population Femmes 15 ans ou plus Retraités ,Population Femmes 15 ans ou plus Autres,Résidences principales,Population Ménages : Nombre de personnes des ménages,Population ménages : nombre de personnes dans les ménages avec famille(s),Population ménages : Nombre de ménages d'une Personne seule
DEPCIR,DEPCIR INTITULE,P13 pop,P13 pop0002,P13 pop0305,P13 pop0610,P13 pop1117,P13 pop1824,P13 pop2539,P13 pop4054,P13 pop5564,P13 pop6579,P13 pop80p,P13 pop0019,P13 pop2064,P13 pop65P,P13 poph,P13 h0019,P13 h2064,P13 h65p,P13 popf,P13 f0019,P13 f2064,P13 f65p,P13 pop fr,P13 pop etr,P13 Pop15P,C13 Pop15P cs1,C13 Pop15P cs2,C13 Pop15P cs3,C13 Pop15P cs4,C13 Pop15P cs5,C13 Pop15P cs6,C13 Pop15P cs7,C13 Pop15P cs8,C13 H15P,C13 H15P cs1,C13 H15P cs2,C13 H15P cs3,C13 H15P cs4,C13 H15P cs5,C13 H15P cs6,C13 H15P cs7,C13 H15P cs8,C13 F15P,C13 F15P cs1,C13 F15P cs2,C13 F15P cs3,C13 F15P cs4,C13 F15P cs5,C13 F15P cs6,C13 F15P cs7,C13 F15P cs8,P13 rp,C13 pmen,C13 pmen menfam,C13 pmen menseul
0701,Ardèche - 1re circonscription,100714,2233,3540,6303,8909,6127,15833,21602,14288,14446,7434,22996,55838,21880,49180,11694,27932,9554,51534,11302,27905,12326,97069,3645,83351,1008,3350,4309,11482,13102,12242,25469,12389,40605,726,2423,2672,5553,2738,9805,11946,4742,42746,281,927,1637,5929,10364,2438,13523,7647,43612,98061,81528,14308
0702,Ardèche - 2e circonscription,121698,2698,4223,7619,10768,8027,19785,25544,16422,17884,8729,27937,67148,26613,59432,14346,33373,11712,62266,13592,33774,14900,118879,2819,100753,1477,4023,5880,13459,15009,15390,31410,14107,48894,1081,2808,3642,6417,2756,12140,14567,5484,51859,396,1215,2238,7042,12253,3250,16843,8622,52692,119010,100024,16787
0703,Ardèche - 3e circonscription,97967,1817,2878,5201,7857,5688,13762,20115,14405,16863,9380,19679,52046,26243,47574,10240,25848,11485,50393,9438,26197,14757,94337,3630,83373,1595,4680,3578,9287,12663,9357,30965,11249,39758,1199,3316,2041,4165,2748,7730,13949,4610,43616,396,1364,1537,5123,9915,1627,17015,6638,44496,94158,75623,15735
0801,Ardennes - 1re circonscription,104505,2575,4115,6859,9521,7590,18142,22044,14323,13055,6280,25446,59724,19335,51028,13151,29565,8312,53477,12295,30159,11023,101039,3466,85359,1363,2468,4124,10225,13907,13899,23014,16359,41044,1048,1762,2554,4869,2693,11752,10598,5769,44315,315,707,1571,5356,11214,2147,12417,10589,44901,102950,86343,14453
0802,Ardennes - 2e circonscription,94241,2126,3255,5744,8439,6962,16399,19799,13218,12238,6060,21713,54229,18298,45936,11106,27266,7564,48305,10607,26963,10734,89028,5213,78337,334,2299,3310,9076,12626,13697,21777,15219,37763,247,1592,2027,4470,2783,11384,9996,5264,40574,87,706,1283,4606,9843,2313,11782,9955,41309,92127,76083,14304
0803,Ardennes - 3e circonscription,82161,1896,2858,5186,7372,5982,13625,17009,11511,11208,5514,19247,46191,16722,40226,9941,23194,7092,41935,9307,22998,9630,79704,2457,68193,1396,2127,2181,6626,10782,12975,19526,12580,33312,1028,1395,1413,3327,2005,10839,8894,4410,34881,368,732,768,3299,8777,2136,10633,8169,36051,80805,67166,12073
0901,Ariège - 1re circonscription,70240,1241,2065,3634,5425,3994,10035,14708,10977,11703,6459,13644,38433,18162,34425,7026,19353,8045,35815,6619,19080,10117,66972,3268,59833,939,2452,2564,7507,9537,6899,21310,8625,29032,662,1732,1484,3528,2275,5937,10188,3227,30801,277,720,1080,3979,7262,962,11122,5398,32859,68512,54655,11968
0902,Ariège - 2e circonscription,82444,1740,2817,4821,6770,5302,12987,16665,11473,12363,7506,17935,44641,19869,40152,9256,22252,8645,42292,8679,22389,11224,78654,3790,69564,1286,3103,3164,8202,11578,8638,23009,10584,33708,905,2106,1916,3872,2815,7268,10597,4229,35856,381,997,1248,4331,8763,1370,12411,6354,36932,79949,64904,12895
1001,Aube  - 1re circonscription,94635,2191,3520,6044,8294,6929,16064,19251,12666,12763,6912,22246,52715,19674,46638,11380,26764,8494,47997,10866,25951,11180,91017,3618,78322,2208,2381,3145,8554,12327,13416,23647,12645,38248,1549,1615,1888,4255,2909,10168,10669,5195,40074,659,766,1257,4299,9418,3248,12977,7450,40732,91370,75905,13476
1002,Aube  - 2e circonscription,107187,2428,3974,6670,8900,8780,18047,21343,14488,14905,7652,24491,60139,22557,51853,12614,29800,9440,55334,11877,30340,13117,102891,4297,89192,1633,2934,4983,11011,14097,13535,26792,14207,42837,1166,2069,2949,5273,3000,10500,11780,6100,46355,467,865,2034,5738,11097,3035,15012,8107,48749,105414,85134,17845
