Identifiant DEPCIR (numéro de département suivi du numéro de circonscritption),Intitulé de DEPCIR,Population,Population 0-2 ans,Population 3-5 ans,Population 6-10 ans,Population 11-17 ans,Population 18-24 ans,Population 25-39 ans,Population 40-54 ans,Population 55-64 ans,Population 65-79 ans,Population 80 ans et plus,Population 0-19 ans,Population 20-64 ans,Population 65 ans et plus,Population Hommes,Population Hommes 0-19 ans,Population Hommes 20-64 ans,Population Hommes 65 ans et plus,Population Femmes,Population Femmes 0-19 ans,Population Femmes 20-64 ans,Population Femmes 65 ans et plus,Population française,Population étrangère,Population 15 ans ou plus,Population 15 ans ou plus Agriculteurs exploitants,"Population 15 ans ou plus Artisans, Comm., Chefs entr.","Population 15 ans ou plus Cadres, Prof. intel. sup.",Population 15 ans ou plus Prof. intermédiaires ,Population 15 ans ou plus Employés,Population 15 ans ou plus Ouvriers,Population 15 ans ou plus Retraités ,Population 15 ans ou plus Autres,Population Hommes15 ans ou plus,Population Hommes 15 ans ou plus Agriculteurs exploitants,"Population Hommes15 ans ou plus Artisans, Comm., Chefs entr.","Population Hommes 15 ans ou plus Cadres, Prof. intel. sup.",Population Hommes 15 ans ou plus Prof. intermédiaires ,Population Hommes15 ans ou plus Employés,Population Hommes 15 ans ou plus Ouvriers,Population Hommes 15 ans ou plus Retraités ,Population Hommes 15 ans ou plus Autres,Population Femmes15 ans ou plus,Population Femmes 15 ans ou plus Agriculteurs exploitants,"Population Femmes15 ans ou plus Artisans, Comm., Chefs entr.","Population Femmes 15 ans ou plus Cadres, Prof. intel. sup.",Population Femmes 15 ans ou plus Prof. intermédiaires ,Population Femmes 15 ans ou plus Employés,Population Femmes 15 ans ou plus Ouvriers,Population Femmes 15 ans ou plus Retraités ,Population Femmes 15 ans ou plus Autres,Résidences principales,Population Ménages : Nombre de personnes des ménages,Population ménages : nombre de personnes dans les ménages avec famille(s),Population ménages : Nombre de ménages d'une Personne seule
DEPCIR,DEPCIR INTITULE,P13 pop,P13 pop0002,P13 pop0305,P13 pop0610,P13 pop1117,P13 pop1824,P13 pop2539,P13 pop4054,P13 pop5564,P13 pop6579,P13 pop80p,P13 pop0019,P13 pop2064,P13 pop65P,P13 poph,P13 h0019,P13 h2064,P13 h65p,P13 popf,P13 f0019,P13 f2064,P13 f65p,P13 pop fr,P13 pop etr,P13 Pop15P,C13 Pop15P cs1,C13 Pop15P cs2,C13 Pop15P cs3,C13 Pop15P cs4,C13 Pop15P cs5,C13 Pop15P cs6,C13 Pop15P cs7,C13 Pop15P cs8,C13 H15P,C13 H15P cs1,C13 H15P cs2,C13 H15P cs3,C13 H15P cs4,C13 H15P cs5,C13 H15P cs6,C13 H15P cs7,C13 H15P cs8,C13 F15P,C13 F15P cs1,C13 F15P cs2,C13 F15P cs3,C13 F15P cs4,C13 F15P cs5,C13 F15P cs6,C13 F15P cs7,C13 F15P cs8,P13 rp,C13 pmen,C13 pmen menfam,C13 pmen menseul
5901,Nord  - 1re circonscription,112813,2974,3755,5602,7191,24306,29408,16426,9399,9034,4718,24064,74996,13752,53963,12091,36302,5570,58849,11973,38694,8182,103035,9777,96296,14,1918,12397,14004,14564,8190,15574,29635,45520,8,1403,7213,6461,4597,6719,6449,12669,50776,6,515,5184,7543,9967,1470,9125,16966,57976,109040,70130,30626
5902,Nord  - 2e circonscription,138990,4136,5701,9482,12350,18565,30581,26091,15419,11579,5085,35997,86329,16664,67109,18423,41913,6773,71881,17574,44416,9891,127377,11613,112535,31,2426,13115,17433,19502,11690,20205,28132,53562,21,1798,7704,7995,5795,9427,8468,12352,58973,10,628,5411,9438,13707,2263,11736,15780,57913,133383,107479,21155
5903,Nord  - 3e circonscription,140762,3812,5647,9725,13307,11760,25523,27351,19196,16924,7516,36073,80249,24440,68438,18527,39697,10214,72324,17546,40552,14226,131090,9672,113804,746,2822,4481,12736,17451,19016,28495,28057,54361,590,1901,2868,6171,4015,16132,12844,9840,59443,156,920,1613,6565,13436,2884,15652,18217,57878,138027,116440,18256
5904,Nord  - 4e circonscription,139633,3594,5211,8726,11940,13676,32406,27598,15215,13849,7419,32896,85470,21268,66920,16519,41946,8455,72713,16377,43524,12812,133922,5711,115377,232,3366,18744,19755,17158,11122,24136,20864,54600,158,2522,11181,8693,4579,8872,9927,8669,60777,74,844,7563,11062,12578,2250,14209,12195,61682,136771,108945,23002
5905,Nord  - 5e circonscription,133186,3420,5264,9206,12816,11297,24860,28648,17107,14207,6361,34041,78576,20568,64267,17515,38661,8092,68919,16527,39916,12476,131133,2053,107839,288,2833,10490,17967,18261,13012,25971,19019,51206,228,2039,6674,8172,4365,10763,10852,8112,56633,59,794,3815,9794,13896,2249,15118,10906,52692,130248,113566,13988
5906,Nord  - 6e circonscription,111617,2662,4075,7709,10995,9190,18926,25377,15055,12460,5168,28470,65520,17628,54861,14801,32544,7516,56756,13669,32976,10112,109876,1741,90981,593,3175,11867,15620,13613,9079,21931,15102,43962,435,2300,7477,6895,3289,7590,9906,6070,47019,158,876,4389,8726,10325,1488,12025,9031,43059,110475,99051,9702
5907,Nord  - 7e circonscription,106767,3166,4637,7807,10280,10248,21191,21228,12231,10694,5284,28925,61863,15978,50867,14854,29677,6336,55900,14071,32186,9642,100077,6690,85126,48,2299,8513,13118,13700,11063,18875,17510,39757,25,1708,5245,5844,3525,8466,7807,7136,45370,23,591,3268,7273,10175,2597,11068,10374,43103,105753,90067,13471
5908,Nord  - 8e circonscription,120080,4464,6387,10111,12611,12236,24160,21962,12159,10687,5304,37198,66891,15992,57817,18884,32352,6580,62263,18314,34538,9412,104796,15285,91579,30,2086,3615,9135,15191,17324,18629,25568,43458,21,1609,2251,4408,4296,13186,7877,9810,48121,9,478,1364,4728,10895,4138,10752,15758,44979,118103,101020,14157
5909,Nord  - 9e circonscription,131128,3847,5397,8668,11371,13479,28550,24869,14310,13272,7364,32708,77784,20636,62158,16589,37504,8065,68970,16119,40280,12572,123019,8109,106701,33,3487,17077,16099,15137,10186,23087,21597,49770,16,2533,10174,7000,4089,7918,9523,8516,56931,17,953,6903,9098,11048,2267,13564,13081,58000,129391,102674,22043
5910,Nord  - 10e circonscription,114199,3297,5141,8672,11784,10569,21391,23617,12843,11563,5322,32208,65107,16884,55008,16486,31561,6960,59191,15722,33546,9924,106788,7411,90253,80,2285,5686,12009,15934,15745,20436,18078,42667,67,1712,3645,5852,3749,12007,8797,6838,47586,13,573,2041,6158,12184,3738,11640,11239,43562,112569,98851,11647
5911,Nord  - 11e circonscription,143738,4045,5661,8905,11875,20203,31350,26238,15299,13614,6547,35289,88288,20161,69010,17938,43254,7817,74728,17350,45034,12344,135430,8308,118221,230,2635,11330,17451,19425,14006,23777,29368,56042,190,1970,6755,8105,5380,11413,9572,12656,62179,40,665,4575,9345,14044,2593,14205,16712,63868,139506,107890,25786
5912,Nord  - 12e circonscription,126810,3214,5057,8602,11833,9754,22585,25753,16709,15480,7823,31793,71714,23303,62011,16565,35889,9556,64799,15228,35825,13747,124695,2115,102833,1074,2596,4733,12555,16555,17210,27585,20524,49837,780,1743,2943,6034,3768,14704,12517,7348,52995,294,853,1790,6521,12787,2506,15068,13177,51469,124965,107242,14626
5913,Nord  - 13e circonscription,125929,3402,4795,7922,11876,11866,23584,24921,16332,15186,6046,31480,73217,21232,60713,16246,35900,8567,65216,15234,37317,12665,121328,4601,103142,44,1877,4179,12463,17811,17404,25862,23502,49016,39,1231,2636,6469,3986,14528,11804,8324,54126,5,645,1543,5994,13825,2876,14059,15178,53732,123775,103125,18017
5914,Nord  - 14e circonscription,126922,3123,4528,8235,12089,9434,21594,27422,18037,15861,6599,30937,73525,22460,61905,15985,36605,9316,65017,14953,36920,13144,125424,1498,103964,870,2415,6023,15242,16492,16060,28224,18639,50144,630,1573,3932,7656,3292,13387,13102,6572,53820,239,842,2091,7585,13200,2673,15122,12067,51596,125034,108885,13709
5915,Nord  - 15e circonscription,124230,3209,4842,8342,12023,9778,22520,26306,15971,14226,7012,31419,71573,21238,61124,16235,36057,8832,63106,15184,35516,12406,122951,1279,101010,1287,2679,5589,13593,17182,17315,26882,16482,48908,964,1835,3580,6511,3518,14165,11864,6471,52102,322,844,2009,7082,13664,3150,15019,10011,48921,121812,107379,12529
5916,Nord  - 16e circonscription,117071,3180,5043,8276,11481,9770,21417,23263,15017,12726,6898,30926,66521,19623,56096,15853,32643,7600,60975,15073,33879,12023,114420,2651,94159,163,2050,3722,10823,15549,16285,22730,22836,44327,129,1362,2315,5424,3386,13829,10575,7307,49831,35,687,1407,5398,12163,2456,12156,15530,45697,115794,101128,12132
5917,Nord  - 17e circonscription,105108,2729,3893,6610,9218,9684,19805,20758,13983,12115,6313,25171,61509,18428,50933,12890,30717,7326,54175,12281,30792,11102,102352,2756,86527,190,1866,5166,10928,14406,12961,21243,19766,41426,137,1301,3264,5382,3612,10740,9423,7567,45101,54,566,1901,5546,10794,2222,11821,12198,43473,101353,85050,13897
5918,Nord  - 18e circonscription,127067,3224,5058,8474,12101,10313,23257,25250,16678,15063,7649,31880,72475,22712,61493,16271,36165,9057,65574,15609,36310,13655,124731,2336,103668,727,2929,4473,12182,16815,18548,28114,19880,49452,535,1888,2852,6034,3954,14518,12007,7665,54216,192,1041,1621,6148,12861,4030,16108,12215,53271,124838,104904,16777
5919,Nord  - 19e circonscription,117580,3373,5197,8558,11341,10596,22276,22586,14440,12951,6263,31467,66899,19214,56854,16245,33164,7445,60726,15222,33734,11770,113979,3601,93530,196,1768,3545,10591,15487,16264,22659,23020,44447,142,1207,2375,5320,3680,13774,10025,7924,49083,54,561,1170,5271,11807,2490,12634,15095,46272,115135,99015,13259
5920,Nord  - 20e circonscription,111181,3077,4659,7999,10759,9314,21109,22493,14046,11709,6016,29312,64144,17725,53695,15071,31717,6907,57486,14241,32427,10818,107457,3724,89416,166,2081,4151,10797,14098,15852,20247,22024,42689,135,1448,2667,5249,3121,13424,9182,7463,46727,31,633,1484,5547,10977,2428,11065,14561,43831,109859,94899,12351
5921,Nord  - 21e circonscription,120725,3322,4635,7412,10114,12555,24189,22597,14884,13918,7098,28727,70981,21017,57802,14526,35229,8046,62923,14201,35752,12971,115214,5511,99346,165,2073,7088,13311,15264,13774,23740,23931,47009,124,1431,4435,6328,3835,11698,10166,8992,52337,41,642,2652,6983,11429,2076,13574,14939,53054,118221,94930,19600
6001,Oise - 1re circonscription,118665,3148,4993,8063,11263,10472,22806,24675,14196,12991,6059,30667,68948,19050,57924,15505,34238,8182,60740,15163,34710,10868,114937,3728,95971,856,2484,5100,13426,16484,17125,23595,16899,46609,622,1737,3110,6601,3690,13582,10580,6687,49361,234,747,1990,6825,12793,3544,13015,10212,48072,115211,98593,14231
6002,Oise - 2e circonscription,120833,3147,4850,8423,11772,9240,21348,26567,16222,13525,5740,31188,70380,19265,59481,15906,35086,8489,61352,15282,35294,10776,117727,3106,98022,1012,3429,6358,14488,16392,16896,23844,15603,48065,758,2437,3971,7043,3497,13414,10789,6156,49957,254,992,2387,7445,12895,3482,13055,9448,47904,119132,104383,12453
6003,Oise - 3e circonscription,119493,3771,5662,9250,11922,9888,23957,25167,14309,11210,4358,33525,70400,15568,58765,17178,34823,6764,60728,16347,35576,8804,107889,11605,93436,209,2424,5486,14442,17833,15693,19706,17643,45521,141,1813,3412,7282,4542,12667,9098,6565,47915,69,611,2074,7159,13290,3026,10608,11078,44717,116662,102701,11654
6004,Oise - 4e circonscription,129094,3247,4869,8970,12560,8899,24200,29419,16527,14145,6259,32577,76112,20405,63079,16542,37792,8745,66015,16035,38320,11660,123363,5731,104775,322,3452,13309,18325,17411,11996,23853,16108,50735,230,2515,8251,8757,4501,9492,10687,6302,54040,93,937,5058,9567,12910,2504,13165,9807,52673,126674,109337,14964
6005,Oise - 5e circonscription,103824,2503,4124,7093,9891,8816,18887,22139,13834,11570,4968,26178,61107,16539,50713,13473,30189,7051,53111,12705,30918,9488,98570,5254,84670,308,2446,6503,12385,14165,13628,19976,15259,40820,252,1721,4102,6009,3278,10565,8955,5938,43850,56,725,2401,6377,10888,3063,11021,9321,42454,101347,85973,12677
6006,Oise - 6e circonscription,108161,2737,4214,7011,10120,9173,20166,22353,13767,12480,6139,26838,62704,18620,53217,13797,31477,7943,54945,13041,31226,10677,103223,4938,88102,386,2704,6813,12638,13793,13881,22194,15693,42839,319,2016,4326,6088,3218,10925,9921,6025,45262,66,688,2486,6551,10575,2955,12273,9668,45241,105764,89003,14357
6007,Oise - 7e circonscription,115330,3285,4873,7765,10609,9476,23198,24268,14775,11997,5084,29327,68922,17081,57001,14869,34555,7577,58329,14457,34367,9504,107594,7736,93049,200,2527,5844,14885,17587,13781,21386,16840,45740,160,1871,3716,7249,4516,11335,10012,6883,47309,40,656,2129,7636,13072,2446,11374,9957,45044,111505,97306,12181
6101,Orne    - 1re circonscription,99996,2183,3239,5683,8532,8071,14996,19598,14268,14729,8697,22181,54389,23426,47941,11505,26750,9686,52055,10676,27639,13740,96908,3088,84221,1687,2811,3750,9429,12906,12743,28068,12827,39662,1163,2006,2310,4155,2479,10225,11919,5404,44559,525,805,1440,5273,10427,2518,16149,7423,45120,96251,77520,16853
6102,Orne    - 2e circonscription,91195,1821,2909,5444,8256,5333,13195,18326,13407,14438,8064,20249,48443,22502,44512,10347,24269,9895,46683,9902,24174,12607,88904,2291,76102,1897,3443,2788,7101,10691,13203,26848,10129,36797,1332,2382,1589,3397,1752,10043,12330,3971,39305,565,1061,1200,3704,8939,3161,14518,6158,40342,88883,73378,13549
6103,Orne    - 3e circonscription,97657,2171,3412,5876,8411,6362,15644,19462,13957,14654,7708,21974,53321,22362,47911,11316,26979,9616,49746,10658,26342,12746,95206,2451,81347,1660,2729,3117,8525,12285,14162,27286,11582,39359,1151,1875,1909,4116,2256,11061,12130,4861,41987,509,854,1209,4409,10029,3101,15156,6721,43017,94720,78814,14404
6201,Pas-de-Calais  - 1e circonscription,136980,3450,5475,9373,12923,9561,24348,29011,18294,16401,8145,34352,78082,24546,67716,17590,39662,10465,69264,16762,38420,14081,136136,844,110811,1709,3347,5095,14428,17442,19261,30227,19301,54544,1302,2278,3216,7074,3596,15724,13894,7461,56267,407,1069,1879,7354,13846,3538,16333,11841,53798,134605,118587,13116
6202,Pas-de-Calais  - 2e circonscription,115117,2880,4083,7030,9810,10060,21876,23222,15619,13709,6827,26641,67940,20536,54918,13594,33093,8230,60199,13047,34846,12306,112684,2433,95020,318,2479,8366,15206,15935,10826,24988,16901,44380,223,1615,5070,7249,3918,9067,10844,6394,50640,94,865,3296,7957,12018,1759,14144,10507,51042,112435,92121,18015
6203,Pas-de-Calais  - 3e circonscription,118177,3161,4879,7833,10960,11111,22334,22812,14973,12693,7420,30107,67957,20113,56109,15451,33338,7320,62068,14656,34619,12793,114179,3998,96011,55,1962,2905,9806,15952,17082,22853,25395,44840,39,1271,1861,5238,3877,14444,9834,8276,51171,16,691,1044,4569,12076,2638,13019,17119,49131,117268,98191,15997
6204,Pas-de-Calais  - 4e circonscription,112709,2638,3816,6830,9967,8132,18447,22335,16262,16602,7679,25833,62595,24281,54282,13194,30932,10157,58427,12639,31663,14124,111308,1401,93876,1537,3219,3578,10463,15731,12896,29327,17124,44311,1130,2123,2288,4813,3717,10879,13021,6341,49565,407,1096,1290,5651,12014,2017,16307,10783,47646,109852,92679,14513
6205,Pas-de-Calais  - 5e circonscription,124119,3108,4839,8023,12059,11114,21506,25193,16221,15021,7036,31323,70739,22056,58776,16097,34120,8558,65343,15226,36619,13498,122386,1733,101188,338,2604,5186,11493,16531,16748,26543,21745,47093,270,1807,3166,5701,3996,13026,11238,7889,54095,68,797,2021,5792,12535,3722,15304,13856,53044,122452,102357,17573
6206,Pas-de-Calais  - 6e circonscription,121482,3300,5275,9024,12517,8302,22686,25493,15316,13128,6441,32841,69072,19569,60150,16820,35015,8315,61332,16020,34057,11255,120792,690,96381,1614,3000,4119,11891,16619,16750,23936,18452,47138,1121,1966,2723,5948,3351,14578,11190,6261,49244,493,1034,1395,5943,13269,2172,12747,12192,45940,120369,107831,10170
6207,Pas-de-Calais  - 7e circonscription,126936,3546,5465,8853,12235,11462,23710,26021,16363,13317,5964,33477,74177,19281,61620,17155,36699,7766,65316,16322,37479,11515,125314,1622,102461,385,2389,4424,12863,18878,16138,24156,23228,49238,305,1476,2986,6749,5069,13648,10685,8321,53223,80,913,1438,6114,13809,2490,13472,14907,52970,125951,106871,16357
6208,Pas-de-Calais  - 8e circonscription,124527,3148,4889,8027,11577,10005,22845,25695,16375,14914,7053,30685,71876,21967,60867,15836,36097,8935,63660,14849,35779,13032,123318,1209,101590,511,2362,3867,11557,16774,17783,26924,21811,49164,384,1571,2440,5892,3591,15102,12287,7897,52425,126,792,1427,5665,13183,2681,14637,13914,51274,121911,104025,15057
6209,Pas-de-Calais  - 9e circonscription,104901,2216,3590,6849,9816,8561,18892,22492,14296,12386,5803,25019,61694,18188,50955,12842,30885,7228,53946,12177,30809,10960,103924,977,86556,493,2408,5560,12328,14110,11577,22009,18071,41526,360,1625,3596,6080,3439,9977,9547,6902,45030,133,783,1964,6248,10671,1600,12462,11169,43413,102798,88032,12833
6210,Pas-de-Calais  - 10e circonscription,120878,3265,4783,8229,11475,9712,22274,23863,15497,14231,7549,30714,68384,21780,57604,15873,33594,8136,63274,14840,34790,13644,120129,749,97926,241,1979,3697,10530,16937,16888,24926,22728,45876,205,1290,2439,5465,3835,14375,11088,7178,52050,36,689,1259,5064,13102,2512,13838,15550,49777,119149,101682,14934
6211,Pas-de-Calais  - 11e circonscription,130989,3883,5642,9159,12178,11443,25524,25284,16369,14299,7208,34157,75325,21507,62390,17498,36659,8234,68599,16659,38666,13274,127483,3506,105203,51,2123,3832,12388,18410,18105,25091,25204,49180,38,1469,2583,6488,4314,15055,10947,8287,56023,13,654,1249,5900,14096,3049,14145,16917,52443,129820,111841,15096
6212,Pas-de-Calais  - 12e circonscription,128390,3616,5670,9101,12516,11058,24525,25468,16472,13479,6485,34228,74198,19964,62012,17673,36641,7698,66378,16555,37557,12266,126916,1474,102934,188,2077,3727,12419,17355,18383,24166,24618,48660,146,1337,2421,6554,3913,15485,10623,8180,54274,43,739,1306,5865,13442,2898,13543,16438,50824,127117,110849,13854
6301,Puy-de-Dôme  - 1re circonscription,136532,3250,4542,7021,9713,16721,27240,24896,17148,18069,7931,28432,82100,26000,65074,14156,40128,10791,71458,14276,41972,15209,124380,12152,116261,104,2734,9269,15087,20522,15068,30378,23099,54945,94,1982,5432,7443,5360,12389,13272,8973,61316,11,751,3837,7644,15163,2680,17105,14125,65750,132918,100112,28125
6302,Puy-de-Dôme  - 2e circonscription,113719,2433,3853,6656,9286,6751,18417,24489,16752,16610,8472,24520,64118,25082,55911,12637,32449,10826,57808,11882,31669,14256,110382,3337,95358,2211,3580,5998,12100,14536,13828,29502,13603,46128,1517,2450,3556,5796,2777,11243,13554,5235,49230,694,1130,2441,6303,11760,2585,15948,8368,49785,110133,91233,16253
6303,Puy-de-Dôme  - 3e circonscription,124045,2391,3388,5704,8165,13999,23444,23927,16899,16724,9403,22746,75172,26127,59397,11503,37147,10747,64648,11243,38025,15380,119391,4653,107790,1816,4158,13292,15475,15933,9371,29268,18476,51063,1235,2870,7590,7240,4104,7977,12502,7545,56727,582,1288,5702,8235,11829,1395,16766,10931,62795,120160,86977,28839
6304,Puy-de-Dôme  - 4e circonscription,135362,2924,4525,7898,10811,12811,23387,28407,18553,17903,8142,29786,79531,26045,66083,15207,39756,11120,69278,14578,39775,14925,130329,5033,113569,879,3793,8795,16161,18608,14898,31089,19345,55000,635,2641,5241,7737,3989,12412,14277,8067,58568,245,1152,3554,8423,14619,2486,16811,11278,61073,131469,106487,21914
6305,Puy-de-Dôme  - 5e circonscription,131341,2753,4495,7793,11278,8015,20467,28726,18791,19109,9914,28970,73348,29023,64015,14710,37007,12298,67326,14260,36340,16725,127031,4310,109874,1445,4519,5484,12808,17418,17722,34977,15502,53171,1062,3275,3279,6225,2995,14458,15764,6114,56703,383,1244,2205,6584,14423,3264,19213,9388,56851,127346,106538,18167
6401,Pyrénées-Atlantiques    - 1re circonscription,100556,1906,2851,4878,7637,10642,18363,20342,12882,13432,7622,19917,59584,21055,47727,10217,29164,8347,52829,9700,30420,12708,94921,5635,86739,255,2302,7589,12507,14750,9234,23741,16362,40505,162,1616,4763,5839,3809,7688,9930,6699,46235,93,686,2827,6668,10941,1546,13811,9663,49182,96971,72233,21703
6402,Pyrénées-Atlantiques    - 2e circonscription,107117,2206,3610,6584,9914,8089,17005,23005,14481,14786,7437,25021,59873,22223,51914,12734,29462,9717,55203,12287,30411,12506,102815,4302,88885,1183,3363,8097,13287,13698,9413,24927,14915,42566,827,2484,5028,6039,2995,7839,11359,5996,46318,356,880,3069,7249,10703,1574,13568,8920,45193,104458,88321,13668
6403,Pyrénées-Atlantiques    - 3e circonscription,107513,2188,3476,6463,9158,6585,17096,23074,14721,15806,8945,23534,59227,24751,52643,12062,29829,10751,54870,11472,29398,14000,103635,3878,89906,1981,3477,5310,12399,14370,11875,28105,12389,43539,1421,2457,3307,6055,2853,9901,12929,4614,46368,560,1020,2003,6343,11517,1974,15176,7775,46826,105455,87960,14848
6404,Pyrénées-Atlantiques    - 4e circonscription,98702,1839,3014,5253,7678,5769,14516,20821,14746,16177,8889,19827,53810,25065,48803,10148,27597,11058,49899,9679,26213,14007,96484,2218,84067,4134,3787,3450,9169,11630,11954,29609,10333,41058,2924,2576,1941,4297,2156,9647,13416,4100,43009,1210,1211,1509,4872,9474,2307,16193,6234,42622,95689,79308,13711
6405,Pyrénées-Atlantiques    - 5e circonscription,124171,2186,3763,6538,9335,9876,22596,25840,16040,17831,10166,24712,71462,27997,58537,12604,34891,11041,65634,12108,36570,16956,119017,5154,106675,485,4241,7576,15568,18647,11579,32120,16459,49601,348,2984,4554,7332,4842,9609,13226,6706,57074,137,1256,3022,8236,13805,1970,18894,9753,60214,121274,92454,25078
6406,Pyrénées-Atlantiques    - 6e circonscription,125998,2430,3759,6422,9218,7520,20633,27041,17461,20011,11504,24299,70184,31516,59764,12690,34328,12745,66234,11608,35856,18770,115220,10778,108196,528,5778,7166,14313,17627,11857,35685,15243,50694,342,3936,4288,6460,4160,9989,15554,5965,57502,186,1843,2878,7852,13467,1868,20131,9277,58724,122476,96877,22290
6501,Hautes-Pyrénées  - 1re circonscription,112260,2066,3121,5655,8381,7246,16466,22485,16914,18664,11261,21502,60833,29925,53976,10940,30405,12631,58284,10562,30428,17294,108177,4083,96481,1667,3650,4461,11833,16089,10558,34135,14088,45854,1252,2629,2681,5618,3813,8946,15240,5676,50627,415,1022,1780,6215,12277,1612,18894,8413,52520,108660,85478,19920
6502,Hautes-Pyrénées  - 2e circonscription,116608,2104,3330,6123,9341,8635,16778,24416,16657,18718,10506,23598,63786,29224,55993,12161,31687,12146,60615,11437,32100,17079,112520,4088,99511,1277,4309,5066,11952,17194,11534,32736,15444,46981,888,2953,3076,5571,4360,9469,14475,6189,52530,389,1356,1990,6382,12834,2065,18260,9255,53180,112820,90522,19355
6601,Pyrénées-Orientales  - 1re circonscription,104793,2599,3653,5974,8205,8874,18047,19997,12972,15578,8893,22859,57462,24472,48643,11710,27261,9672,56150,11149,30201,14800,97168,7626,87715,184,3283,5129,10839,14124,9166,26574,18416,39819,129,2373,2980,5011,3459,7519,11170,7178,47895,54,910,2149,5828,10665,1647,15404,11239,49184,102312,79684,19597
6602,Pyrénées-Orientales  - 2e circonscription,120382,2512,3980,7068,10257,8017,18118,23583,16493,20860,9496,26533,63494,30356,57195,13482,30397,13316,63187,13051,33096,17040,114456,5926,100700,1018,4490,4279,10907,16243,10875,34975,17912,47078,764,3103,2594,4897,3815,8934,16335,6635,53622,255,1388,1685,6010,12428,1941,18639,11277,53281,118059,97747,17332
6603,Pyrénées-Orientales  - 3e circonscription,119072,2566,4222,7483,10652,8654,20009,24326,14762,16946,9451,27548,65127,26397,57137,14456,31640,11041,61935,13092,33487,15356,111528,7544,98610,963,4210,4981,11991,15978,11516,29368,19602,46580,655,2898,2821,5699,4198,9418,13227,7665,52030,308,1312,2161,6292,11780,2098,16141,11938,54424,116634,92017,20340
6604,Pyrénées-Orientales  - 4e circonscription,118458,2060,3344,6210,9195,6891,16254,23793,17074,22217,11420,23088,61733,33636,56726,11950,30032,14744,61732,11138,31701,18892,112407,6051,101726,938,5256,4580,10992,15768,10577,38508,15107,48426,655,3592,2770,5236,3430,8908,18054,5780,53301,283,1664,1810,5756,12338,1669,20454,9327,54613,116069,94095,18434
6701,Bas-Rhin  - 1re circonscription,126528,3486,5031,7599,9741,19477,30842,21742,12390,10610,5611,30135,80172,16221,60019,14968,38654,6397,66509,15167,41518,9824,106753,19775,104747,27,2576,15171,14487,15622,11222,17564,28078,49164,15,1854,8649,6437,4650,8765,7312,11482,55584,12,722,6522,8050,10972,2457,10251,16596,58856,122404,87332,26995
6702,Bas-Rhin  - 2e circonscription,131734,3007,4374,6900,9252,21148,30066,22411,14070,13432,7075,27935,83292,20507,62509,14156,40167,8187,69224,13779,43125,12320,115417,16317,112111,24,2331,12511,16087,17235,12584,22607,28733,52291,20,1686,7215,7158,4996,9886,9430,11900,59820,4,645,5296,8929,12238,2698,13177,16833,64258,126282,89089,30591
6703,Bas-Rhin  - 3e circonscription,115893,3132,4333,6870,9420,11012,23520,23145,13941,14105,6415,26697,68677,20520,55241,13772,33132,8338,60652,12925,35545,12182,101831,14062,96235,21,2398,9588,13639,16201,12562,23408,18420,45089,17,1725,5640,6148,3899,10057,10087,7517,51146,4,673,3948,7492,12302,2505,13321,10903,51595,113301,90875,19514
6704,Bas-Rhin  - 4e circonscription,121690,2592,4174,7250,10435,8945,20960,27284,17771,15973,6303,27246,72167,22277,59044,14098,35058,9888,62646,13148,37109,12388,116977,4713,101733,486,3351,12086,17504,16229,11196,26705,14175,48726,362,2459,7420,7832,3601,9091,12419,5542,53007,124,892,4667,9672,12628,2105,14286,8633,50119,120577,105895,12658
6705,Bas-Rhin  - 5e circonscription,133687,3121,5053,8305,11844,9907,24502,30597,17574,15697,7087,31507,79396,22784,66069,16158,39862,10049,67618,15349,39534,12735,128647,5040,110747,963,3198,8048,17046,17496,20656,28398,14942,53912,750,2298,5131,8350,3090,15669,13115,5509,56835,213,900,2916,8696,14406,4987,15283,9433,54815,132189,115529,14561
6706,Bas-Rhin  - 6e circonscription,120687,2525,4082,7130,10759,8935,20614,28225,16599,15140,6677,27346,71524,21818,59664,14096,36032,9536,61023,13250,35492,12281,116310,4377,100636,544,3373,8168,15358,16213,16957,26373,13649,49289,376,2381,5190,7602,3405,12969,12216,5149,51348,168,992,2978,7756,12808,3988,14157,8501,49504,118441,103001,13234
6707,Bas-Rhin  - 7e circonscription,110280,2368,3759,6520,9444,7564,18690,25006,15694,14105,7129,24494,64552,21234,54546,12610,32754,9182,55734,11884,31798,12052,106769,3511,92275,643,2811,5570,12582,14584,17620,25494,12970,45366,425,2080,3629,6121,2382,13883,11818,5029,46909,218,731,1941,6462,12202,3738,13676,7941,44965,109058,95709,11399
6708,Bas-Rhin  - 8e circonscription,124944,2574,4036,7099,10444,8200,21415,30117,18267,15744,7049,26708,75444,22792,62428,13902,38529,9997,62516,12806,36915,12795,115990,8954,104960,482,3310,5684,13678,17369,23775,26416,14246,52084,370,2364,3839,6907,2905,18192,12387,5121,52876,112,946,1845,6771,14464,5583,14029,9125,51125,123489,108989,12358
6709,Bas-Rhin  - 9e circonscription,124017,2526,4109,7098,10511,10165,22213,28702,17109,14925,6658,27145,75289,21583,61128,13911,37954,9263,62889,13234,37335,12321,118539,5478,104125,341,3310,7692,15254,17600,17836,26189,15900,50999,291,2497,5182,7176,3957,13891,11815,6191,53126,51,813,2511,8079,13643,3945,14374,9709,49816,120237,105137,12960
